Protein,log2FC,pvalue,padj
RPL36A,-0.0690271606359687,0.694048356930369,0.8441143177820043
DBNL,0.118928896417977,0.716329651513525,0.8550554643066373
CALM1,-0.20224576579426,0.139023197268972,0.3739837426705153
TMA16,0.290723129638863,0.333879477533032,0.5753804830193533
DGKQ,0.275705267490739,0.229134282059315,0.4705024977607309
NLK,-0.188877864793003,0.224452834656133,0.46487615337850186
ALG8,0.0766187092043573,0.686941773010443,0.8376736009012237
TAF2,-1.39676674526153,0.026207728895227,0.19743155767737672
RPS17L,0.0547869392575855,0.798283680314406,0.8998110311773354
RPS27L,0.695770886845249,0.0117781113109336,0.16144545514420078
DDX17,0.450888545235205,0.0951091856345594,0.3153253196099329
METTL9,-0.0065232021271519,0.955338668675193,0.9762164542001219
FUS,0.0855018910271959,0.504986097751559,0.7095970451306881
TBC1D24,0.327792169680556,0.135713687715059,0.3702771841883703
ZFYVE19,0.135951226988603,0.772066968386584,0.8842253455508512
PTPLAD1,-0.0072606832799486,0.962054763357538,0.9781392008517518
NUP93,0.24587223220362,0.165974106018333,0.4040590444539669
GABARAP,0.0712321686806803,0.885206019730888,0.9388285939295956
SAP130,0.571796350165847,0.0096823027749536,0.14427695123996792
ESYT2,0.349571549802107,0.0588067175404614,0.26382185643960027
RBM33,-0.103823945091399,0.74128279903863,0.8672816872272496
SF1,-0.0887160222257464,0.579882778559008,0.7656485372210466
ALG3,0.0115733711998693,0.978141712909154,0.9883458738485937
C21orf33,0.185604867880024,0.579563340501651,0.7656485372210466
EBNA1BP2,0.367138809874525,0.163883906563341,0.40185637848081446
BRCC3,0.629924867345743,0.141318202411466,0.3747513097997793
DVL2,0.130625324749762,0.478796108369902,0.6949763724053057
EIF5A,0.389679844894701,0.0685667911421139,0.28260355254925973
RPS15A,0.477480301771809,0.0082748305638488,0.13852679314295027
SMARCD2,0.292623551185017,0.0462301447884375,0.23488481636174705
FBRSL1,-0.077296506046654,0.558998169533101,0.7512403546946332
PSMD9,-0.248937871890696,0.564423895821244,0.7530744320748401
CHID1,0.5734860634889,0.165451653757531,0.40351158722160435
SEC16A,-0.185371689965006,0.145473047417452,0.37859544561296843
DDX41,0.668634020537947,0.0311585296620048,0.20793195071387272
FSCN1,0.306265874367671,0.362398506679307,0.5952020139490856
FHL2,0.144831078195143,0.423817265819486,0.6545514948191606
FBRS,-0.127854597223241,0.625964958494289,0.8003194510365054
NUP98,0.169199340171353,0.350250565678375,0.5875641987934543
SIK3,-0.0908334489671105,0.725550371019675,0.8590016522024864
STAT1,0.690397005845071,0.0115163671274795,0.16144545514420078
ALDOA,0.0874760228607414,0.719381532696929,0.8571892428269205
TRABD,0.0126245697814333,0.974511712056328,0.9866858230455835
HDAC2,-0.214024456635002,0.22797395062256,0.4705024977607309
FKBP8,0.566170731909725,0.071102778996906,0.28303748612532875
KCTD1,0.169171485469604,0.78937382624205,0.8949756759065383
RPL17,-0.401101761403762,0.114859899639404,0.34300929035886174
DDX5,0.443389749105012,0.0057231629872609,0.13248153357138961
RPL19,-1.5298513339201,0.211162870849371,0.45356854057666984
SRSF1,-0.240440695058595,0.290851118268179,0.5313451967146968
CHERP,-0.237168922236897,0.0771397296106716,0.29632145425515777
MRPS23,1.00587880187313,0.0330818166048561,0.21361401579135655
MRPS7,1.10404828298405,0.0909193092529553,0.3112663071881952
RPL18,-0.357646167101795,0.104572037418674,0.3299324915297818
SAP30BP,0.126646099037558,0.247922101171687,0.4893484267668233
ALDH3A2,-0.200976376552205,0.129917214866837,0.36343002703391514
ZNF207,0.129272783671922,0.560175437169381,0.7519153556883924
GIT1,0.409679712469902,0.0577670655297069,0.26285953308148513
TMCO1,0.824059562873252,0.0267865671276529,0.19871762748738556
SMAD4,-0.439230625207838,0.138198805399839,0.3725598014357489
LONP1,0.293901974504191,0.334240246466692,0.5753804830193533
RPL22,-0.156050539575034,0.6866181735445,0.8376736009012237
ATF7,0.0005127941892197,0.998282541408799,0.9990192812917575
FECH,0.226838347892276,0.716156038038125,0.8550554643066373
ACAA2,0.786768334200399,0.0223593607757787,0.19141818278898312
TAF15,0.206476918646942,0.321980829208547,0.5640904449700126
DAZAP1,0.195261500708146,0.587377292037447,0.7732850563133769
RPS15,0.527850983958992,0.282441086905674,0.5233170449869045
VMAC,-0.683489667305974,0.0422384986992302,0.2273997862724977
SARS2,-0.341656294281215,0.0806111624843583,0.301302847377444
COPE,0.301107146777696,0.310130846962955,0.5482886942395919
ZC3H4,-0.951377371434177,0.0073806587995651,0.13565047345491807
RPS5,0.270795190560559,0.0088992592433657,0.13919312019996294
POLD1,0.344439492618172,0.0214665763498194,0.18891769477223913
AGPS,0.440831067742796,0.0608191527164701,0.265906917655124
DDX39A,0.408583936916152,0.174749581699154,0.41499200137312225
PDLIM1,0.371520370584044,0.0065776326501964,0.13312343095024357
HAX1,-0.201239196882643,0.425255490334071,0.6551129472095414
GTPBP1,0.521035781676137,0.167879742505351,0.406355560686252
PSMD11,2.68093938442018,2e-05,0.010848000000000002
CBX4,-0.290514468631486,0.0306381773261678,0.20578100646698097
SUPT5H,0.0676496118530885,0.867137364006465,0.9302517923993406
WWP2,2.39909528981028,0.0251418803560622,0.19492819808454492
POLRMT,-0.568428936486427,0.10802710000759,0.3335036536553474
IGF2BP3,-0.295874828003026,0.234708555713074,0.4750220918610871
DNM1L,0.762120069264856,0.0769839022521215,0.29632145425515777
ELL2,-0.697598072478986,0.112987252144325,0.3397133346068841
NDUFA4,0.143177896215033,0.455271067114343,0.682987700728205
KPNA3,-0.179668826051056,0.726897996520817,0.8590016522024864
DDX3X,0.23950903439961,0.105392649079567,0.3299324915297818
NFIB,0.0016786179394898,0.996753803746339,0.9990192812917575
SCD,-0.496986384479783,0.350109242721612,0.5875641987934543
AP3D1,-0.177963188936928,0.186905488771571,0.42837447200873935
ABLIM1,-0.0477391168082661,0.770701132605585,0.8834072153957508
CHD1,-0.21246079044856,0.0935126875671184,0.3138524197759805
CHD2,-0.310004710097267,0.0809547099668791,0.301302847377444
IMPA2,0.114417855591366,0.728989381084097,0.8590016522024864
PRMT5,-0.262650200426354,0.0101039656794641,0.14892366805818827
SLC9A3R1,0.895968594386432,0.0139506272887121,0.16716019598419787
BCKDK,0.78248562978705,0.0297511651762685,0.20445255148515118
HAT1,0.270014531875262,0.242913108663671,0.48250776286916003
HGS,1.69096468644287,0.0063272014211864,0.13248153357138961
XPO1,0.111220337184726,0.484203754031107,0.6988380410334707
ZNF609,-0.324146504193855,0.0548189219553578,0.2563257178326386
U2SURP,-0.310172946068182,0.0328571651921477,0.21361401579135655
PFAS,0.930013693390592,0.115095300231034,0.34300929035886174
ARPC1B,-0.2634598965879,0.648036089232656,0.8100678328003255
AXIN1,-0.25519130816658,0.110680842425431,0.33673845173880224
NKRF,-0.253725395249138,0.2397015180029,0.4801111645671084
CASC3,-0.809438752042343,0.264084908802591,0.5086635459322634
RER1,0.034190274827008,0.868832794750958,0.9313338100255328
SPTLC1,-0.378899283814651,0.235548443944054,0.47601146048902715
OGT,-0.0892576064315165,0.455122724883202,0.682987700728205
MID1,-0.226292918596076,0.34756889269195,0.5869282920177885
HDAC3,-0.316373408338901,0.271352990287939,0.5173054996599367
YY2,0.377386926098566,0.048850618762767,0.24175707679675934
SLC16A3,-0.430865978672198,0.0456805503304914,0.23463191760661492
SLC31A1,-0.184333760342401,0.414240864348512,0.6456443816742324
DHX15,0.241234883840043,0.0293851395839781,0.20329719018303213
PHGDH,-0.0540651472317002,0.780497230639256,0.8907998490222526
PSMD3,1.77483901440758,5e-05,0.011242623513160735
PAPSS1,0.129795515952395,0.241038285770435,0.4817497547277826
CTIF,-0.106201321734979,0.648349802034362,0.8100678328003255
PPIP5K2,0.539377162355617,0.127569406295193,0.36135777123799917
RIPK2,0.226652247181931,0.136402502924079,0.3714092248294199
HNRNPR,-0.737341625675416,0.0518889060299889,0.2530984049520322
TBX1,-0.215291709403353,0.223110368038056,0.46487615337850186
KLF4,-0.322061305744381,0.15881854910789,0.3966837704604272
XPOT,0.243121591050755,0.498212767762534,0.7066699927677784
TIMM44,-0.112189514644982,0.386378266266126,0.6197029772514709
BUB3,-0.883902771559452,0.144346343267915,0.37713611073466813
ACTN4,-0.118596335700182,0.35500804028066,0.5896551296784165
NARS,0.0726278685174044,0.359807612529473,0.5935512440267219
NUDT21,0.0115283334183047,0.9457286528331,0.9711054749515323
LANCL1,0.234204823906584,0.168322362582336,0.406355560686252
CALU,-0.385199192329086,0.0968888509160603,0.31905081977935207
AHCYL1,0.470967668029008,0.0430779453798232,0.2290733095491775
KIF1C,0.0183293165234382,0.891413500857564,0.9413993046439694
PRICKLE3,-0.195887293913724,0.409856178003888,0.6417609438490441
AQR,-0.186510962922707,0.151278446378521,0.3863155805824378
ACSL4,-0.0452203315033728,0.509208275555276,0.7121691663101919
SYNCRIP,0.459981968270753,0.0701176054707739,0.28303748612532875
GMDS,0.206955948649782,0.134051663577058,0.36735832756715286
CCNT1,-0.441587562844262,0.0090331818418855,0.13919312019996294
CCNT2,-0.07172740308825,0.649786877724351,0.8100678328003255
PRMT3,0.0192072015414375,0.938546622477824,0.970897327264041
UGDH,0.426525572162809,0.1796263005228,0.4200000373828629
CTNND1,0.0594423155651889,0.370790667685967,0.607236890558178
PQBP1,-0.696188727705199,0.0550617039661273,0.2565761875535004
EIF5B,0.271263120561962,0.178597105571866,0.4189925175699832
DNAJA2,-0.452545699250877,0.0624254162697548,0.2676029823775017
BRD4,-0.262746972585866,0.0526734204622629,0.2541820574620231
ABCB7,0.253587648089923,0.19715463180571,0.43637599006173516
MITF,-0.581082658733333,0.130457383935411,0.36343002703391514
FAM20B,0.224098281461867,0.119233442547901,0.35071702406714483
WDR1,-0.241323151266045,0.0589513440274328,0.26382185643960027
HIP1R,0.337078277941259,0.0421142838084459,0.2273997862724977
RNF40,-0.0600384207458546,0.620902887170348,0.7988086480104287
CLUH,0.354965558342787,0.0425955351867363,0.2273997862724977
NDUFS2,-0.132525594156878,0.753216777515282,0.871891755829122
DUSP11,0.714139583745091,0.0194085994429542,0.1802606907167527
NDUFS6,-0.560612173585827,0.0120156609222949,0.16144545514420078
SEC22B,-0.267759066056257,0.0641341379915493,0.270883774673173
PRPF40A,0.027912178699868,0.910661452518405,0.9565119516769615
VPS26A,-0.0542300921161178,0.75336101347596,0.871891755829122
SF3B1,-0.344962613545029,0.0403352277861024,0.22655198784880323
CSDE1,0.0146530900445541,0.904379546492679,0.9513876377378376
SNRNP200,0.620224622701983,0.0257213215707066,0.19520409346702555
TIPRL,0.393148212119087,0.149041927735711,0.38349308161219
WDHD1,-0.0107310214680751,0.92868080854996,0.9642352039768345
CBR3,0.611576996940101,0.214822977530571,0.4572443751581121
CCNK,0.267801482666616,0.340868147698669,0.5792195592473623
TRIO,0.203499642470426,0.20791542159821,0.448224660869909
GLRX3,0.876350637441309,0.0008526874516123,0.05582724535295854
CLPX,0.001975276053475,0.992686617074267,0.9985779323091291
CIAO1,0.555479027975164,0.231929193577763,0.4713810634361604
MTA2,-0.250715853729158,0.30133562505804,0.5390647857238815
TOX4,-0.360055551261357,0.432328881993043,0.6609221690897027
SEC24D,-0.133502042159154,0.627181325402932,0.8003237231452133
FBXO21,1.37558071047459,0.0082355240628242,0.13852679314295027
HEXIM1,-0.120638633022281,0.139323687382464,0.3739837426705153
ZFPL1,-0.184681913183919,0.527666781092935,0.72641234026601
IKBKAP,-0.335099000703835,0.137681036761385,0.37200640273138114
ZRANB2,-0.44430803217514,0.0901496763635312,0.3103527846756835
TNKS,-0.0186623017624292,0.861906340168174,0.9283044426995927
SMC2,0.176114882530733,0.108534761741515,0.3337259340623454
FARS2,0.385502829389399,0.0134608352059199,0.1658550234552012
IPO7,0.0124788157598346,0.911928261147894,0.9568814998608444
PGM3,0.696669333682863,0.090082529158278,0.3103527846756835
ZIC2,0.302654452010028,0.176934363106975,0.417406801181597
PAPLN,-0.270203405133589,0.376717095526941,0.6115509698328452
SEC24B,-0.251045637213721,0.0042262071795321,0.11939035282178183
ACSL3,-0.149049816223979,0.141416976025195,0.3747513097997793
CPSF4,0.0409621192191274,0.859504758842946,0.9271984510668534
AP2A1,-0.246505674053907,0.0630148105652505,0.2682548592395185
BAG2,0.0734292121829654,0.642426633597783,0.8088491319949802
BAG3,0.253623087174731,0.0484507573282199,0.2406768863497144
AIFM1,0.153544291857489,0.428105542505274,0.6574304820352792
PAK4,-0.206330840187341,0.281417338360263,0.5233170449869045
ACTL6A,-0.0495096375177013,0.624929528902319,0.8001984964198099
GLUD1,0.391248069712276,0.112158996180196,0.33899755769241424
GSR,-0.156700724466603,0.485475984257765,0.6988380410334707
ASS1,0.337217050718159,0.209279542283618,0.4504493005342635
LMNA,-0.244083972755931,0.015001666359209,0.17097566079232315
LMNA,0.0939781637812089,0.634961941398905,0.8031794706501074
TFRC,0.267206414623253,0.141382488297924,0.3747513097997793
CAT,-0.712232374872954,0.0187095755395965,0.1802606907167527
CSTB,-0.0739722802878724,0.667308649968399,0.8221422548951335
TK1,0.145180356007401,0.374098298956364,0.6106341171994297
GAPDH,0.796265002440322,0.0012087334747982,0.0630400996856292
HSPB1,0.343881659186529,0.656704134103965,0.8144221479542564
RPN1,0.0146266373754607,0.942343212694162,0.970897327264041
RPN2,-0.594073576179824,0.133872343091873,0.36735832756715286
SLC4A2,-0.142757267083013,0.256491553309809,0.4994214613361345
ATP1A1,0.0680011365596904,0.433350678679102,0.6609938360954581
SLC25A5,0.10420635603823,0.467177951635671,0.6883388161622465
EIF2S1,0.340688695211465,0.303897465663433,0.5408237310852588
RPLP2,-0.107731352280648,0.487230984222957,0.6999937047613618
TFAP2A,-0.337897621700222,0.338308096062993,0.578004989705174
KRT18,0.402295129021251,0.0218732139227445,0.18891769477223913
CDK1,0.126922885059031,0.589408038228691,0.7752059164288119
ATP5B,0.018735231910469,0.886257646703476,0.9388791944764948
ENO1,-0.119202913904108,0.857158720114504,0.926879764334344
NPM1,-0.168674185461676,0.436034040082427,0.6634111961653612
LDHB,0.587418537662018,0.287423436426959,0.5283247052790822
P4HB,0.0578697866308389,0.813540189406767,0.9094480600458169
ANXA2,-0.192833107830836,0.647060977132668,0.8100678328003255
TUBB,0.211436634292838,0.363486849304684,0.5959953659699535
EPRS,0.0092539548555699,0.748144913404741,0.871891755829122
CTSB,0.297212178159089,0.530882504242495,0.7288156217984204
HSP90AA1,0.146426318705313,0.88150517159843,0.9382425531298831
UQCRH,-0.111603433231249,0.487595572955912,0.6999937047613618
HSPA1A,-0.145001325239427,0.160126192247462,0.39840571869276786
SLC3A2,-0.214850317943931,0.127594839281914,0.36135777123799917
PFKM,-0.185601560562215,0.456332490309553,0.682987700728205
HSP90AB1,0.140864272025482,0.376888706860924,0.6115509698328452
SRPR,0.383658753870197,0.182905662470587,0.42180285426890474
ASNS,-0.216854562009296,0.565361188681554,0.7530744320748401
PDHA1,0.354170914244065,0.0998035641057577,0.3237646720751374
CYC1,0.0268691679192017,0.879468969358971,0.9373550250174912
SNRPB2,-0.212507279050286,0.336370499354724,0.578004989705174
SNRNP70,0.126847624130939,0.699785229542353,0.8469322549078802
NFIC,-0.384203142417512,0.134102044355266,0.36735832756715286
VIM,1.57163108012941,0.303628422493952,0.5408237310852588
LGALS1,-0.596313388616821,0.222944817555115,0.46487615337850186
CNP,0.293945195530121,0.162284113608152,0.4015643395121426
DLD,-0.0559018657860406,0.612594441371727,0.7936930076019371
SNRPA1,-0.11261259845924,0.592644712920402,0.7776458119870413
PARP1,0.247788038320618,0.0913598748236738,0.3112663071881952
HIST1H2AJ,0.289436077106881,0.726943808858833,0.8590016522024864
PRSS56,0.202200349934444,0.404792665210587,0.6371663685711937
TROVE2,0.0252205895471853,0.91860165009358,0.9574356937178282
ARAF,0.340415348102852,0.280673732573203,0.5233170449869045
PTPRF,0.194718832722337,0.182433149207427,0.42180285426890474
TXN,-0.0907159580174763,0.516360549162715,0.7166682749893977
HSPD1,-0.0009543362726809,0.988419873064591,0.9972450505026678
HSPA5,0.090266424701845,0.190761649653681,0.4291165171059743
HSPA8,0.140214891857624,0.231247956092084,0.4713810634361604
SLC2A1,0.124651931986239,0.712047915458114,0.8520911217955868
